Time,Flow rate(ln/min)
75.4,0.2394
75.6,0.2375
75.8,0.2369
76,0.2356
76.2,0.235
76.4,0.235
76.6,0.2338
76.8,0.2331
77,0.2325
77.2,0.2312
77.4,0.2312
77.6,0.23
77.8,0.2294
78,0.2287
78.2,0.2287
78.4,0.2275
78.6,0.2269
78.8,0.2256
79,0.225
79.2,0.2244
79.4,0.2231
79.6,0.2225
79.8,0.2219
80,0.2212
80.2,0.22
80.4,0.22
80.6,0.2188
80.8,0.2181
81,0.2175
81.2,0.2175
81.4,0.2163
81.6,0.2156
81.8,0.215
82,0.2144
82.2,0.2131
82.4,0.2125
82.6,0.2119
82.8,0.2112
83,0.2106
83.2,0.21
83.4,0.2094
83.6,0.2087
83.8,0.2081
84,0.2075
84.2,0.2075
84.4,0.2056
84.6,0.205
84.8,0.2044
85,0.2037
85.2,0.2031
85.4,0.2025
85.6,0.2019
85.8,0.2013
86,0.2006
86.2,0.2
86.4,0.1994
86.6,0.1981
86.8,0.1981
87,0.1975
87.2,0.1975
87.4,0.1969
87.6,0.1969
87.8,0.1969
88,0.1969
88.2,0.1975
88.4,0.1975
88.6,0.1975
88.8,0.1981
89,0.1987
89.2,0.1987
89.4,0.1994
89.6,0.2
89.8,0.2006
90,0.2006
90.2,0.2013
90.4,0.2019
90.6,0.2019
90.8,0.2025
91,0.2025
91.2,0.2031
91.4,0.2031
91.6,0.2031
91.8,0.2037
92,0.2062
92.2,0.2125
92.4,0.2244
92.6,0.24
92.8,0.2562
93,0.2725
93.2,0.2725
93.4,0.3025
93.6,0.315
93.8,0.3262
94,0.3363
94.2,0.345
94.4,0.3525
94.6,0.3594
94.8,0.3656
95,0.3713
95.2,0.3756
95.4,0.3794
95.6,0.3831
95.8,0.3862
96,0.3894
96.2,0.3894
96.4,0.3912
96.6,0.395
96.8,0.3962
97,0.3975
97.2,0.3981
97.4,0.3994
97.6,0.3994
97.8,0.4
98,0.4006
98.2,0.4006
98.4,0.4006
98.6,0.4
98.8,0.4
99,0.4
99.2,0.3994
99.4,0.3987
99.6,0.3981
99.8,0.3975
100,0.3962
100.2,0.3956
100.4,0.3944
100.6,0.3937
100.8,0.3925
101,0.3912
101.2,0.39
101.4,0.3894
101.6,0.3881
101.8,0.3869
102,0.3856
102.2,0.385
102.4,0.3837
102.6,0.3831
102.8,0.3819
103,0.3812
103.2,0.3806
103.4,0.3794
103.6,0.3787
103.8,0.3775
104,0.3769
104.2,0.3762
104.4,0.375
104.6,0.3744
104.8,0.3731
105,0.3719
105.2,0.3706
105.4,0.3694
105.6,0.3675
105.8,0.3669
106,0.3675
106.2,0.3675
106.4,0.3719
106.6,0.375
106.8,0.3787
107,0.3825
107.2,0.3825
107.4,0.3894
107.6,0.3925
107.8,0.3956
108,0.3981
108.2,0.3981
108.4,0.4025
108.6,0.4044
108.8,0.4056
109,0.4069
109.2,0.4069
109.4,0.4087
109.6,0.4094
109.8,0.41
110,0.4106
110.2,0.4106
110.4,0.4106
110.6,0.4106
110.8,0.41
111,0.41
111.2,0.41
111.4,0.4087
111.6,0.4081
111.8,0.4075
112,0.4069
112.2,0.4069
112.4,0.4056
112.6,0.405
112.8,0.4038
113,0.4025
113.2,0.4025
113.4,0.4
113.6,0.3987
113.8,0.3975
114,0.3969
114.2,0.3969
114.4,0.3956
114.6,0.395
114.8,0.395
115,0.3944
115.2,0.3944
115.4,0.3937
115.6,0.3931
115.8,0.3931
116,0.3925
116.2,0.3925
116.4,0.3912
116.6,0.3906
116.8,0.39
117,0.3887
117.2,0.3887
117.4,0.3862
117.6,0.3856
117.8,0.3844
118,0.3844
118.2,0.3831
118.4,0.3825
118.6,0.3819
118.8,0.3812
119,0.3812
119.2,0.38
119.4,0.3794
119.6,0.3787
119.8,0.3781
120,0.3781
120.2,0.3769
120.4,0.3762
120.6,0.3756
120.8,0.375
121,0.375
121.2,0.3731
121.4,0.3725
121.6,0.3719
121.8,0.3706
122,0.3706
122.2,0.3688
122.4,0.3681
122.6,0.3669
122.8,0.3662
123,0.3662
123.2,0.3637
123.4,0.3631
123.6,0.3619
123.8,0.3606
124,0.3606
124.2,0.3587
124.4,0.3575
124.6,0.3562
124.8,0.3556
125,0.3556
125.2,0.3531
125.4,0.3519
125.6,0.3506
125.8,0.3494
126,0.3481
126.2,0.3469
126.4,0.3456
126.6,0.3438
126.8,0.3413
127,0.3381
